Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
Gemini 3 Pro,Gemini 3 Pro Preview,153.99290428017454,151.5049316616275,159.36763547103794,2025-11-18,Google DeepMind,"United States of America,United Kingdom of Great Britain and Northern Ireland",API access,Closed weights,
Gemini 3 Flash,Gemini 3 Flash,152.87413777337426,150.32734428663753,156.36279197683476,2025-12-17,Google DeepMind,"United States of America,United Kingdom of Great Britain and Northern Ireland",Unknown,Other,
GPT-5.2,GPT-5.2 (xhigh),152.02540595267698,148.76979858083945,157.15987523609874,2025-12-11,OpenAI,United States of America,Unknown,Other,
GPT-5 Pro,GPT-5 Pro,150.33596374421677,147.3691009585588,152.53506067102478,2025-10-07,OpenAI,United States of America,API access,Closed weights,
GPT-5.1,GPT-5.1 (high),150.24470602568422,148.4263759910731,151.93658949247776,2025-11-13,OpenAI,United States of America,API access,Closed weights,
GPT-5,GPT-5 (high),150.0,,,2025-08-07,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.5,Claude Opus 4.5 (32k thinking),149.92927262084703,146.68780379387135,152.47952813028056,2025-11-24,Anthropic,United States of America,API access,Closed weights,
o3-pro,o3-pro,148.7545689335664,145.6054491273279,153.94846483548366,2025-06-10,OpenAI,United States of America,Unknown,Other,
Grok 4,Grok 4,147.4167970961894,145.04756646671038,149.43340483499748,2025-07-09,xAI,United States of America,API access,Closed weights,
o3,o3 (high),146.7633713134347,144.4791838163482,148.79973382206788,2025-04-16,OpenAI,United States of America,API access,Closed weights,
Claude Sonnet 4.5,Claude Sonnet 4.5 (59k thinking),146.4176539710075,143.53670724508223,148.23973575508333,2025-09-29,Anthropic,United States of America,API access,Closed weights,
Gemini 2.5 Pro (Jun 2025),Gemini 2.5 Pro (Jun 2025),146.18039263792465,144.16165158049623,149.21005744830123,2025-06-17,Google DeepMind,"United States of America,United Kingdom of Great Britain and Northern Ireland",API access,Closed weights,
